order_sk,order_id,date_id,channel_sk,store_sk,customer_sk,billing_location_sk,shipping_location_sk,status,subtotal,tax_amount,shipping_fee,total_amount
58,1000000057,20250221,2,4,338,630,4,FULFILLED,28425.0,5969.25,0.0,34394.25
59,1000000058,20240921,1,,1068,3,2075,CANCELLED,43350.0,9103.5,1500.0,53953.5
60,1000000059,20240701,1,,958,1977,2539,FULFILLED,64200.0,13482.0,0.0,77682.0
61,1000000060,20240225,2,4,428,337,4,CANCELLED,29160.0,6123.6,0.0,35283.6
62,1000000061,20250301,1,,1337,298,88,FULFILLED,12000.0,2520.0,1200.0,15720.0
63,1000000062,20241223,2,3,1442,696,3,FULFILLED,45000.0,9450.0,0.0,54450.0
64,1000000063,20240530,1,,939,3172,410,FULFILLED,37044.0,7779.24,1500.0,46323.24
65,1000000064,20250304,1,,1409,3175,311,FULFILLED,14850.0,3118.5,1200.0,19168.5
66,1000000065,20240917,1,,1062,2637,1403,FULFILLED,35280.0,7408.8,1200.0,43888.8
67,1000000066,20240126,1,,988,1191,138,CANCELLED,35280.0,7408.8,1200.0,43888.8
68,1000000067,20250411,1,,778,1602,1252,REFUNDED,14700.0,3087.0,900.0,18687.0
69,1000000068,20241201,1,,77,1747,624,PAID,84435.0,17731.35,0.0,102166.35
70,1000000069,20240612,1,,700,1472,480,FULFILLED,44100.0,9261.0,0.0,53361.0
71,1000000070,20250725,1,,425,2747,432,PAID,12000.0,2520.0,900.0,15420.0
72,1000000071,20240722,2,3,1271,1522,3,FULFILLED,11760.0,2469.6,0.0,14229.6
73,1000000072,20240202,1,,1129,2125,2540,PAID,12825.0,2693.25,1500.0,17018.25
74,1000000073,20241207,1,,1224,485,1123,PAID,15435.0,3241.35,900.0,19576.35
75,1000000074,20241214,1,,446,3072,2068,FULFILLED,56340.0,11831.4,900.0,69071.4
76,1000000075,20250322,1,,867,1944,2685,FULFILLED,29400.0,6174.0,900.0,36474.0
77,1000000076,20240301,1,,127,423,3189,FULFILLED,23520.0,4939.2,1200.0,29659.2
78,1000000077,20241204,2,1,874,208,1,PAID,23520.0,4939.2,0.0,28459.2
79,1000000078,20250109,1,,814,374,2367,FULFILLED,40650.0,8536.5,0.0,49186.5
80,1000000079,20250916,1,,1189,2306,840,PAID,32400.0,6804.0,1200.0,40404.0
81,1000000080,20241111,1,,584,2170,69,FULFILLED,14700.0,3087.0,900.0,18687.0
82,1000000081,20250202,1,,1433,2160,953,FULFILLED,52800.0,11088.0,900.0,64788.0
83,1000000082,20250921,1,,670,2091,3103,FULFILLED,34200.0,7182.0,1200.0,42582.0
84,1000000083,20240210,1,,464,2869,842,REFUNDED,38100.0,8001.0,1200.0,47301.0
85,1000000084,20241125,1,,535,,153,PAID,15000.0,3150.0,900.0,19050.0
86,1000000085,20250301,1,,655,2539,2185,FULFILLED,12348.0,2593.08,1500.0,16441.08
87,1000000086,20250818,1,,833,855,2251,FULFILLED,10800.0,2268.0,1200.0,14268.0
88,1000000087,20241213,1,,490,1319,1449,CANCELLED,11400.0,2394.0,1200.0,14994.0
89,1000000088,20240203,1,,360,104,1460,FULFILLED,56400.0,11844.0,900.0,69144.0
90,1000000089,20250618,1,,1227,2146,1176,FULFILLED,14250.0,2992.5,1200.0,18442.5
91,1000000090,20240127,1,,624,2890,38,FULFILLED,36825.0,7733.25,900.0,45458.25
92,1000000091,20240217,1,,228,1743,2302,FULFILLED,91192.5,19150.42,0.0,110342.92
93,1000000092,20240613,1,,770,530,776,FULFILLED,30000.0,6300.0,900.0,37200.0
94,1000000093,20241114,2,2,54,2329,2,FULFILLED,84675.0,17781.75,0.0,102456.75
95,1000000094,20241227,2,4,1006,2237,4,PAID,74700.0,15687.0,0.0,90387.0
96,1000000095,20250925,1,,247,1236,1295,FULFILLED,48510.0,10187.1,1200.0,59897.1
97,1000000096,20250523,2,3,1127,1319,3,FULFILLED,35280.0,7408.8,0.0,42688.8
98,1000000097,20240612,2,2,757,2453,2,FULFILLED,15435.0,3241.35,0.0,18676.35
99,1000000098,20250116,1,,520,3135,2447,FULFILLED,35910.0,7541.1,900.0,44351.1
100,1000000099,20240227,1,,258,1515,228,FULFILLED,12000.0,2520.0,0.0,14520.0
101,1000000100,20240730,1,,467,1636,1889,CANCELLED,23148.0,4861.08,900.0,28909.08
102,1000000101,20240330,1,,3,2640,223,PAID,36000.0,7560.0,900.0,44460.0
103,1000000102,20241119,1,,334,2620,2867,FULFILLED,35280.0,7408.8,1200.0,43888.8
104,1000000103,20240325,2,3,802,553,3,CREATED,30780.0,6463.8,0.0,37243.8
105,1000000104,20240323,1,,999,255,3052,REFUNDED,30000.0,6300.0,1200.0,37500.0
106,1000000105,20240512,1,,176,462,2444,FULFILLED,21600.0,4536.0,1200.0,27336.0
107,1000000106,20250208,1,,801,607,2960,FULFILLED,15000.0,3150.0,900.0,19050.0
108,1000000107,20240522,1,,1113,751,1947,FULFILLED,34020.0,7144.2,900.0,42064.2
109,1000000108,20250704,2,4,810,,4,FULFILLED,46305.0,9724.05,0.0,56029.05
110,1000000109,20240422,2,4,581,704,4,FULFILLED,33000.0,6930.0,0.0,39930.0
111,1000000110,20250604,2,2,1284,3026,2,CANCELLED,68070.0,14294.7,0.0,82364.7
112,1000000111,20241220,1,,1333,2902,1880,FULFILLED,15435.0,3241.35,1200.0,19876.35
113,1000000112,20250228,2,2,24,806,2,PAID,76770.0,16121.7,0.0,92891.7
114,1000000113,20240121,2,1,1222,1895,1,CANCELLED,12936.0,2716.56,0.0,15652.56
115,1000000114,20240917,2,1,63,2180,1,PAID,9720.0,2041.2,0.0,11761.2
116,1000000115,20240219,1,,1078,2864,3,REFUNDED,21600.0,4536.0,1500.0,27636.0
117,1000000116,20240701,1,,1091,2787,2613,FULFILLED,39600.0,8316.0,1200.0,49116.0
118,1000000117,20250119,1,,524,3173,1258,FULFILLED,24000.0,5040.0,1200.0,30240.0
119,1000000118,20250816,1,,1229,1458,2394,FULFILLED,38808.0,8149.68,900.0,47857.68
120,1000000119,20250716,2,4,458,2845,4,FULFILLED,14700.0,3087.0,0.0,17787.0
121,1000000120,20240418,1,,68,1466,1657,FULFILLED,11760.0,2469.6,0.0,14229.6
122,1000000121,20241220,2,4,959,2706,4,FULFILLED,37620.0,7900.2,0.0,45520.2
123,1000000122,20250830,2,1,356,3167,1,FULFILLED,36000.0,7560.0,0.0,43560.0
124,1000000123,20250624,1,,530,1284,5,CANCELLED,14700.0,3087.0,1200.0,18987.0
125,1000000124,20240206,1,,1420,1268,3008,FULFILLED,54684.0,11483.64,1200.0,67367.64
126,1000000125,20240709,2,3,279,954,3,FULFILLED,51300.0,10773.0,0.0,62073.0
127,1000000126,20240612,2,3,779,206,3,FULFILLED,15000.0,3150.0,0.0,18150.0
128,1000000127,20240228,1,,1383,3141,2117,FULFILLED,56850.0,11938.5,1200.0,69988.5
129,1000000128,20250420,1,,1189,885,1356,CANCELLED,82620.0,17350.2,1500.0,101470.2
130,1000000129,20250917,1,,1016,1995,3040,FULFILLED,62280.0,13078.8,1500.0,76858.8
131,1000000130,20250521,2,3,595,164,3,PAID,12150.0,2551.5,0.0,14701.5
132,1000000131,20240125,2,4,902,2020,4,FULFILLED,39600.0,8316.0,0.0,47916.0
133,1000000132,20240726,1,,317,2601,2546,FULFILLED,26460.0,5556.6,1200.0,33216.6
134,1000000133,20240614,2,2,1229,,2,FULFILLED,15000.0,3150.0,0.0,18150.0
135,1000000134,20240106,2,3,279,63,3,FULFILLED,62280.0,13078.8,0.0,75358.8
136,1000000135,20240530,2,4,1498,2609,4,PAID,33000.0,6930.0,0.0,39930.0
137,1000000136,20250120,1,,140,2026,1773,FULFILLED,28500.0,5985.0,0.0,34485.0
138,1000000137,20241115,1,,1115,462,2545,PAID,11760.0,2469.6,0.0,14229.6
139,1000000138,20240103,1,,1240,1477,1704,PAID,34200.0,7182.0,1500.0,42882.0
140,1000000139,20240406,1,,590,1328,1036,FULFILLED,13500.0,2835.0,1200.0,17535.0
141,1000000140,20250217,2,3,645,1878,3,FULFILLED,13230.0,2778.3,0.0,16008.3
142,1000000141,20241130,2,1,545,2477,1,REFUNDED,11880.0,2494.8,0.0,14374.8
143,1000000142,20250625,1,,1208,3064,1955,REFUNDED,50706.0,10648.26,1500.0,62854.26
144,1000000143,20240606,2,1,551,1113,1,FULFILLED,66600.0,13986.0,0.0,80586.0
145,1000000144,20240209,2,1,569,214,1,CANCELLED,29700.0,6237.0,0.0,35937.0
146,1000000145,20250719,1,,1305,,3178,FULFILLED,30000.0,6300.0,1500.0,37800.0
147,1000000146,20240505,1,,280,194,2731,FULFILLED,82687.5,17364.38,900.0,100951.88
148,1000000147,20241207,1,,1338,,1472,FULFILLED,59340.0,12461.4,900.0,72701.4
149,1000000148,20250621,1,,84,592,2447,FULFILLED,35280.0,7408.8,1200.0,43888.8
150,1000000149,20250121,1,,655,81,1117,FULFILLED,13500.0,2835.0,900.0,17235.0
151,1000000150,20250530,2,4,513,3049,4,FULFILLED,32340.0,6791.4,0.0,39131.4
152,1000000151,20240416,2,3,884,849,3,FULFILLED,35280.0,7408.8,0.0,42688.8
153,1000000152,20240108,2,2,385,1553,2,FULFILLED,9720.0,2041.2,0.0,11761.2
154,1000000153,20250610,2,2,723,752,2,CANCELLED,10800.0,2268.0,0.0,13068.0
155,1000000154,20240701,2,1,110,2113,1,PAID,42525.0,8930.25,0.0,51455.25
156,1000000155,20240212,1,,1197,2708,3125,FULFILLED,12000.0,2520.0,900.0,15420.0
157,1000000156,20241029,2,2,833,1194,2,FULFILLED,42750.0,8977.5,0.0,51727.5
158,1000000157,20250126,2,3,371,1185,3,CANCELLED,59250.0,12442.5,0.0,71692.5
159,1000000158,20240424,2,1,905,1807,1,FULFILLED,30000.0,6300.0,0.0,36300.0
160,1000000159,20240714,1,,389,3180,307,FULFILLED,12348.0,2593.08,1200.0,16141.08
161,1000000160,20240613,2,4,1299,,4,FULFILLED,29400.0,6174.0,0.0,35574.0
162,1000000161,20241021,1,,725,,2912,FULFILLED,45000.0,9450.0,900.0,55350.0
163,1000000162,20250731,2,4,645,161,4,PAID,22800.0,4788.0,0.0,27588.0
164,1000000163,20240224,1,,584,984,136,FULFILLED,21600.0,4536.0,900.0,27036.0
165,1000000164,20250222,1,,436,3083,2762,FULFILLED,63000.0,13230.0,900.0,77130.0
166,1000000165,20250827,1,,293,2895,2361,FULFILLED,23520.0,4939.2,1500.0,29959.2
167,1000000166,20250727,1,,1065,,2496,FULFILLED,43425.0,9119.25,1200.0,53744.25
168,1000000167,20250118,1,,1234,1645,2706,CANCELLED,47085.0,9887.85,1200.0,58172.85
169,1000000168,20240226,1,,400,2133,2527,CANCELLED,40500.0,8505.0,1200.0,50205.0
170,1000000169,20240708,1,,251,,1329,FULFILLED,10800.0,2268.0,1200.0,14268.0
171,1000000170,20240329,2,4,764,,4,PAID,30000.0,6300.0,0.0,36300.0
172,1000000171,20250227,1,,1490,2733,2557,CREATED,11760.0,2469.6,1200.0,15429.6
173,1000000172,20240507,1,,181,607,1805,FULFILLED,22800.0,4788.0,900.0,28488.0
174,1000000173,20250616,1,,693,1849,1635,FULFILLED,31500.0,6615.0,1200.0,39315.0
175,1000000174,20240907,2,2,672,2475,2,FULFILLED,11760.0,2469.6,0.0,14229.6
176,1000000175,20240531,1,,786,1699,2161,PAID,12000.0,2520.0,900.0,15420.0
177,1000000176,20250225,2,2,1347,1260,2,FULFILLED,14850.0,3118.5,0.0,17968.5
178,1000000177,20241123,1,,628,,868,FULFILLED,12825.0,2693.25,1200.0,16718.25
179,1000000178,20250503,2,2,1485,3036,2,PAID,13500.0,2835.0,0.0,16335.0
180,1000000179,20250812,1,,805,1866,2735,FULFILLED,72600.0,15246.0,900.0,88746.0
181,1000000180,20240521,1,,445,2685,753,FULFILLED,25200.0,5292.0,1200.0,31692.0
182,1000000181,20241112,1,,560,2249,83,FULFILLED,23520.0,4939.2,900.0,29359.2
183,1000000182,20240908,1,,403,1525,2607,FULFILLED,25080.0,5266.8,1200.0,31546.8
184,1000000183,20241026,2,1,693,1838,1,PAID,27000.0,5670.0,0.0,32670.0
185,1000000184,20250511,2,2,274,2613,2,PAID,13500.0,2835.0,0.0,16335.0
186,1000000185,20240718,1,,804,600,944,FULFILLED,59844.0,12567.24,1200.0,73611.24
187,1000000186,20240730,1,,1495,2585,1364,FULFILLED,11400.0,2394.0,900.0,14694.0
188,1000000187,20250212,2,1,48,2002,1,REFUNDED,32400.0,6804.0,0.0,39204.0
189,1000000188,20250823,2,3,661,2869,3,FULFILLED,27000.0,5670.0,0.0,32670.0
190,1000000189,20240502,1,,984,3020,1812,PAID,37044.0,7779.24,900.0,45723.24
191,1000000190,20240605,1,,1384,1811,1972,PAID,11760.0,2469.6,0.0,14229.6
192,1000000191,20250916,1,,788,1179,206,CANCELLED,88344.0,18552.24,0.0,106896.24
193,1000000192,20240308,2,2,456,1133,2,PAID,12000.0,2520.0,0.0,14520.0
194,1000000193,20240215,1,,427,,695,FULFILLED,32400.0,6804.0,1200.0,40404.0
195,1000000194,20250913,1,,866,913,2574,FULFILLED,45000.0,9450.0,0.0,54450.0
196,1000000195,20250228,1,,371,352,600,FULFILLED,45840.0,9626.4,1200.0,56666.4
197,1000000196,20250814,1,,1000,1481,1384,FULFILLED,30000.0,6300.0,1200.0,37500.0
198,1000000197,20240409,1,,1404,2536,795,FULFILLED,10800.0,2268.0,1200.0,14268.0
199,1000000198,20240203,1,,1159,,788,FULFILLED,29160.0,6123.6,900.0,36183.6
200,1000000199,20250319,1,,1040,,2797,FULFILLED,48000.0,10080.0,1200.0,59280.0
201,1000000200,20240925,1,,464,2887,2537,FULFILLED,21600.0,4536.0,900.0,27036.0
202,1000000201,20241116,1,,166,1631,2941,REFUNDED,40950.0,8599.5,1200.0,50749.5
203,1000000202,20250327,2,3,1056,1262,3,FULFILLED,36000.0,7560.0,0.0,43560.0
204,1000000203,20241117,2,3,925,2299,3,FULFILLED,32400.0,6804.0,0.0,39204.0
205,1000000204,20250127,1,,488,678,257,CANCELLED,40500.0,8505.0,1200.0,50205.0
206,1000000205,20240930,1,,903,459,898,FULFILLED,14700.0,3087.0,0.0,17787.0
207,1000000206,20250726,1,,70,1448,1092,PAID,23520.0,4939.2,1200.0,29659.2
208,1000000207,20250507,1,,1459,,1330,FULFILLED,12348.0,2593.08,900.0,15841.08
209,1000000208,20250411,2,2,500,1838,2,FULFILLED,44550.0,9355.5,0.0,53905.5
210,1000000209,20250403,1,,361,370,1297,FULFILLED,25200.0,5292.0,1200.0,31692.0
211,1000000210,20250320,1,,476,683,2590,FULFILLED,13500.0,2835.0,1500.0,17835.0
212,1000000211,20250719,2,1,1400,1780,1,REFUNDED,66780.0,14023.8,0.0,80803.8
213,1000000212,20250218,1,,945,106,886,FULFILLED,11760.0,2469.6,900.0,15129.6
214,1000000213,20240416,1,,1443,1390,900,FULFILLED,15750.0,3307.5,1500.0,20557.5
215,1000000214,20240719,1,,1430,2114,2687,FULFILLED,22680.0,4762.8,900.0,28342.8
216,1000000215,20240129,1,,1330,613,1579,FULFILLED,51015.0,10713.15,900.0,62628.15
217,1000000216,20250510,1,,274,3105,506,FULFILLED,15675.0,3291.75,900.0,19866.75
218,1000000217,20240405,2,2,1251,455,2,FULFILLED,59962.5,12592.12,0.0,72554.62
219,1000000218,20240704,1,,176,299,550,FULFILLED,31860.0,6690.6,1200.0,39750.6
220,1000000219,20240612,2,2,42,1205,2,PAID,45000.0,9450.0,0.0,54450.0
221,1000000220,20250921,1,,582,1139,1933,FULFILLED,11400.0,2394.0,900.0,14694.0
222,1000000221,20250507,2,1,4,73,1,FULFILLED,23520.0,4939.2,0.0,28459.2
223,1000000222,20240830,2,2,569,2286,2,FULFILLED,21600.0,4536.0,0.0,26136.0
224,1000000223,20241224,2,1,157,708,1,PAID,22680.0,4762.8,0.0,27442.8
225,1000000224,20250322,1,,649,230,311,FULFILLED,40500.0,8505.0,1200.0,50205.0
226,1000000225,20250805,1,,1230,55,1403,FULFILLED,34020.0,7144.2,0.0,41164.2
227,1000000226,20240716,1,,197,3115,2867,FULFILLED,29160.0,6123.6,1200.0,36483.6
228,1000000227,20240717,1,,731,1940,2594,FULFILLED,35280.0,7408.8,1200.0,43888.8
229,1000000228,20250327,1,,506,2901,2647,FULFILLED,35280.0,7408.8,900.0,43588.8
230,1000000229,20250410,2,2,751,3016,2,CANCELLED,13500.0,2835.0,0.0,16335.0
231,1000000230,20241229,1,,485,201,1341,FULFILLED,32400.0,6804.0,900.0,40104.0
232,1000000231,20240608,1,,823,2287,57,PAID,47250.0,9922.5,900.0,58072.5
233,1000000232,20250221,1,,680,2906,1497,PAID,36936.0,7756.56,1200.0,45892.56
234,1000000233,20241119,1,,417,531,2093,FULFILLED,15000.0,3150.0,900.0,19050.0
235,1000000234,20250528,1,,677,1685,2205,FULFILLED,23520.0,4939.2,1200.0,29659.2
236,1000000235,20241002,2,2,1327,2411,2,CANCELLED,21600.0,4536.0,0.0,26136.0
237,1000000236,20250104,2,1,593,,1,FULFILLED,24000.0,5040.0,0.0,29040.0
238,1000000237,20241114,2,1,606,1048,1,FULFILLED,36000.0,7560.0,0.0,43560.0
239,1000000238,20250322,2,2,137,2139,2,PAID,21168.0,4445.28,0.0,25613.28
240,1000000239,20240220,1,,487,1298,1637,FULFILLED,51660.0,10848.6,900.0,63408.6
241,1000000240,20241020,1,,909,179,2066,REFUNDED,39000.0,8190.0,900.0,48090.0
242,1000000241,20241011,2,1,179,2962,1,FULFILLED,59400.0,12474.0,0.0,71874.0
243,1000000242,20250815,1,,183,1611,2017,CANCELLED,37044.0,7779.24,1200.0,46023.24
244,1000000243,20250608,1,,536,2922,827,FULFILLED,16500.0,3465.0,0.0,19965.0
245,1000000244,20240913,2,1,1341,,1,FULFILLED,20520.0,4309.2,0.0,24829.2
246,1000000245,20250508,2,1,378,,1,REFUNDED,40350.0,8473.5,0.0,48823.5
247,1000000246,20250927,1,,548,476,537,CANCELLED,61650.0,12946.5,0.0,74596.5
248,1000000247,20241202,1,,757,116,3131,FULFILLED,15435.0,3241.35,900.0,19576.35
249,1000000248,20241026,2,4,522,2139,4,FULFILLED,10800.0,2268.0,0.0,13068.0
250,1000000249,20240419,2,3,1384,290,3,FULFILLED,39600.0,8316.0,0.0,47916.0
251,1000000250,20240921,1,,473,1994,843,FULFILLED,42525.0,8930.25,1500.0,52955.25
252,1000000251,20240315,2,3,1316,1075,3,FULFILLED,34200.0,7182.0,0.0,41382.0
253,1000000252,20240302,2,1,1356,1674,1,FULFILLED,44100.0,9261.0,0.0,53361.0
254,1000000253,20250423,1,,266,597,1464,REFUNDED,46296.0,9722.16,0.0,56018.16
255,1000000254,20241013,2,2,1359,1810,2,FULFILLED,21168.0,4445.28,0.0,25613.28
256,1000000255,20240813,1,,843,1968,2933,FULFILLED,14700.0,3087.0,900.0,18687.0
257,1000000256,20241001,1,,599,83,105,FULFILLED,23520.0,4939.2,1200.0,29659.2
258,1000000257,20250530,2,1,1048,723,1,FULFILLED,57900.0,12159.0,0.0,70059.0
259,1000000258,20241226,1,,319,1480,3048,FULFILLED,28500.0,5985.0,900.0,35385.0
260,1000000259,20250904,1,,846,661,975,REFUNDED,25872.0,5433.12,1500.0,32805.12
261,1000000260,20241212,1,,1491,3128,2539,FULFILLED,33000.0,6930.0,1200.0,41130.0
262,1000000261,20250814,1,,79,1306,1366,FULFILLED,24000.0,5040.0,0.0,29040.0
263,1000000262,20241118,1,,748,862,3055,FULFILLED,35280.0,7408.8,900.0,43588.8
264,1000000263,20241231,1,,537,987,3146,PAID,40500.0,8505.0,900.0,49905.0
265,1000000264,20250819,2,2,303,2401,2,PAID,57645.0,12105.45,0.0,69750.45
266,1000000265,20240427,1,,1065,1988,1757,FULFILLED,52536.0,11032.56,900.0,64468.56
267,1000000266,20250507,1,,606,2324,1858,FULFILLED,39195.0,8230.95,900.0,48325.95
268,1000000267,20240229,1,,553,1948,1632,FULFILLED,27000.0,5670.0,1200.0,33870.0
269,1000000268,20250314,1,,656,1668,361,CANCELLED,11400.0,2394.0,0.0,13794.0
270,1000000269,20241013,1,,786,54,1402,CANCELLED,69105.0,14512.05,0.0,83617.05
271,1000000270,20240216,2,1,663,1839,1,FULFILLED,11760.0,2469.6,0.0,14229.6
272,1000000271,20240212,1,,833,1046,1297,REFUNDED,71280.0,14968.8,1200.0,87448.8
273,1000000272,20241025,1,,844,2889,1061,FULFILLED,26400.0,5544.0,1200.0,33144.0
274,1000000273,20240301,1,,720,1437,353,FULFILLED,35280.0,7408.8,900.0,43588.8
275,1000000274,20240928,2,1,169,2353,1,FULFILLED,63690.0,13374.9,0.0,77064.9
276,1000000275,20240621,1,,969,95,1858,FULFILLED,21600.0,4536.0,1200.0,27336.0
277,1000000276,20250526,2,4,268,2908,4,PAID,24000.0,5040.0,0.0,29040.0
278,1000000277,20241014,2,1,122,3023,1,FULFILLED,42000.0,8820.0,0.0,50820.0
279,1000000278,20250304,1,,617,164,2841,FULFILLED,21600.0,4536.0,1500.0,27636.0
280,1000000279,20250815,1,,608,1523,2268,CANCELLED,44100.0,9261.0,900.0,54261.0
281,1000000280,20240720,2,1,732,1458,1,FULFILLED,27300.0,5733.0,0.0,33033.0
282,1000000281,20250311,1,,211,600,2122,FULFILLED,43968.0,9233.28,900.0,54101.28
283,1000000282,20241228,1,,475,432,1567,FULFILLED,19440.0,4082.4,900.0,24422.4
284,1000000283,20250721,1,,949,1549,2712,FULFILLED,12825.0,2693.25,1200.0,16718.25
285,1000000284,20240309,2,2,426,2971,2,FULFILLED,58500.0,12285.0,0.0,70785.0
286,1000000285,20241030,1,,386,1037,1443,CANCELLED,15000.0,3150.0,1200.0,19350.0
287,1000000286,20240711,1,,500,1798,2067,FULFILLED,29400.0,6174.0,1500.0,37074.0
288,1000000287,20250617,2,1,677,1764,1,PAID,42750.0,8977.5,0.0,51727.5
289,1000000288,20250201,2,1,33,2085,1,PAID,11760.0,2469.6,0.0,14229.6
290,1000000289,20250226,1,,194,1296,3137,CANCELLED,73710.0,15479.1,1200.0,90389.1
291,1000000290,20241104,1,,78,3031,2789,FULFILLED,85830.0,18024.3,1500.0,105354.3
